Unique ID,Post,Labels Set
1,"The Hindus of my country are very rare. Some are firm Ram devotees and some are Babar's brother-in-law,

Jai Shri Ram.","hate, offensive"
2,"The government always brings new schemes to increase farmers' earnings, so that they do not have to bear much financial burden.

https://t.co/8iy2MJSBAs",non-hostile
3,"The business deal that Sushant had done on June 9, why did Dee Deepesh remember the day of Sushant's murder? See 'Asks Hai Bharat' with Arnab on Republic India #LIVE: https://t.co/G945HvzM0Z https://t.co/KfH7xF1IdM",non-hostile
4,@ prabhav218 brother-in-law JNU impression: The people say to the Hindus that the constitution gives equal rights to all. The truth is that it does not give equal rights.,"defamation, offensive"
5,"# unlock4guidelines - Guidelines for unlock-4 released

- Metro service will be started across the country from September 7
- 100 people allowed in rallies and other functions after September 21
- No relaxation in Containment Zone
- Cinemashall be closed now
- 9th to 12th Students will be able to go to school after 21 September. https://t.co/4e6lysg0VR",non-hostile
6,"China argued in the UN that the opposition of India does not consider Azar Masood as a terrorist, how can we believe. Die traitors drowned in urine throughout Chullu. Now the people of India have to think why they should vote for the opposition… Vikram Sharma",fake
7,"#Corona's record cases in the country
#ZeeJankariOnCorona
@Sheerin_sherry https://t.co/V6UddREAtW",non-hostile
8,"Listening to #Students coming out of #JEE Exam center will bring smiles on parents' faces along with other students
https://t.co/TQ7nfIv0I0 https://t.co/gGCDYYEz6E",non-hostile
9,"#AkshayKumar will soon be seen in Bare Grylls show 'Into the Wild with Bare Grylls'.

https://t.co/wGp2WS0wuM",non-hostile
10,"#JeevanCommunity: We want to fight, because we want to set the example of struggle in front. There will be so much new in the new city that we will spend years in establishing our roots. We are definitely in debt, but we do not want to lose. He too fought without fighting.
#JeevanSamvad
@DayashankarMi
https://t.co/nd7troF0JF https://t.co/CmAzq2Mj8S",non-hostile
11,"RT @_Pb_swain_: Modiji and when the whole country stands with the army,

but two faces are lying abroad? 🤔 That is why the son of a foreign mother is never a patriot…",hate
12,"RT @ShilpiSinghINC: The order has come to demolish 48000 houses, no matter what!

1 out of 5 of the rich has an illegal part of the house.",offensive
13,"When BJP spokesperson @sambitswaraj asked Congress spokesperson @SupriyaShrinate to be the head mistress, then hear what the Congress spokesperson responded to
# Halla_Bol @anjanaomkashyap #RE https://t.co/WWDYuWikCE",non-hostile
14,"Akshay Kumar to be seen in dangerous forests with beer grills, video released

@akshaykumar
@BearGrylls

https://t.co/VPLwEQsqAv",non-hostile
15,"Father-in-law raped Azam Khan's daughter.
Now the quatation arises that what will happen to the child to be told to Azam Khan's real Damad.",offensive
16,Kangana Ranaut of Congress origin will campaign for BJP in Bihar elections! #NATIONALNEWS,fake
17,"People living in home isolation carry thermometer and pulse oximeter together. If someone has cough or fever or breathlessness, then helpline no. 18001805145 or contact @ CMHelpline1076: ACS, Medical and Health, Mr. Amit Mohan Prasad Ji

@ShishirGoUP",non-hostile
